WorkingType_Code, Код
AnnualDeclaration, Годовая декларация
AnnualDeclarations, Годоые декларации
AnnualDeclarations_btnAddAnnualDeclaration, Добавить годовую декларацию
AnnualDeclarations_btnCloseAnnualDeclaration, Закрыть
AnnualDeclarations_btnDeleteAnnualDeclaration, Удалить годовую декларацию
AnnualDeclarations_btnEditAnnualDeclaration, Редактировать годовую декларацию
AnnualDeclaration_Add, Добавить годовую декларацию
AnnualEstimate, Годовая оценка
AnnualEstimates, Годовые оценки
AnnualEstimates_btnAddAnnualEstimate, Добавить годовую оценку
AnnualEstimates_btnCloseAnnualEstimate, Закрыть
AnnualEstimates_btnDeleteAnnualEstimate, Удалить годовую оценку
AnnualEstimates_btnEditAnnualEstimate, Редактировать годовую оценку
AnnualEstimate_Add, Добавить годовую оценку
HistoryEmployments, Истории занятости
HistoryEmployments_btnAddHistoryEmployment, Добавить историю занятости
HistoryEmployments_btnCloseHistoryEmployment, Закрыть
HistoryEmployments_btnDeleteHistoryEmployment, Удалить историю занятости
HistoryEmployments_btnEditHistoryEmployment, Редактировать историю занятости
MentoringHistory, История наставнчества
MentoringHistorys, Истории наставничества
MentoringHistorys_btnAddMentoringHistory, Добавить историю наставничества
MentoringHistorys_btnCloseMentoringHistory, Закрыть
MentoringHistorys_btnDeleteMentoringHistory, Удалить историю наставничества
MentoringHistorys_btnEditMentoringHistory, Редактировать историю наставничества
MentoringHistory_Add, Добавить историю наставничества
Mentorings, Наставничества
Mentorings_btnAddMentoring, Добавить наставничество
Mentorings_btnCloseMentoring, Закрыть
Mentorings_btnDeleteMentoring, Удалить наставничество
Mentorings_btnEditMentoring, Редактировать наставничество
Penaltys, Взыскания
Penaltys_btnAddPenalty, Добавить взыскание
Penaltys_btnClosePenalty, Закрыть
Penaltys_btnDeletePenalty, Удалить взыскание
Penaltys_btnEditPenalty, Редактировать взыскание
PersonLanguageLevel, Владение языком
PersonLanguageLevel_Add, Добавить владение языком
PersonPhone, Контакт сотрудника
PersonPhone_Add, Добавить контакт сотрудника
PersonRank_AcceptedDate, Дата получения
Relative, Родственник
Relative_Add, Добавить родственника
ScienceThings, Научные труды
ScienceThings_btnAddScienceThing, Добавить научный труд
ScienceThings_btnCloseScienceThing, Закрыть
ScienceThings_btnDeleteScienceThing, Удалить научный труд
ScienceThings_btnEditScienceThing, Редактировать научный труд
WorkExperience, Выполняемая работа и учеба
WorkExperiences, Выполняемые работы и учеба
WorkExperiences_btnAddWorkExperience, Добавить выполняемую работу и учебу
WorkExperiences_btnCloseWorkExperience, Закрыть
WorkExperiences_btnDeleteWorkExperience, Удалить выполняемую работу и учебу
WorkExperiences_btnEditWorkExperience, Редактировать выполняемую работу и учебу
WorkExperience_Add, Добавить выполняемую работу и учебу
WorkExperience_DateStart, Дата начала
WorkExperience_DateFinished, Дата окончания
WorkExperience_PostOutOfOrganization, Должность
WorkExperience_OrganizationForExperience, Организация
WorkExperience_IsMainWork, Основное место работы
WorkExperience_IsGovermentWork, Является Госслужбой
WorkExperience_IsSpeciality, По специальности
WorkExperience_MainInfo, Общая информация
Year_MainInfo, Общая информация
Mentoring, Наставничество
Mentoring_Add, Добавить наставничество
PersonEducations, Образования сотрудника
PersonRanks_btnEditPersonRank, Редактировать звание
Edit_RewardsAndPenalty, Награды и Взыскания
ErrorNullFields, Заполните обязательные поля
EditWorker_PassporDate, Дата выдачи паспорта
EditWorker_PassporNumber, Номер паспорта
EditWorker_PassportSeries, Серия паспорта
ErrorLookUpNoValue, Не выбрано значение
Language, Язык
LanguageLevel, Уровень владения языком
btnAddData, Добавить данные
btnClose, Выход из формы
btnDeleteData, Удалить данные
btnEditData, Изменить данные
btnPrintData, Печать данных
btnRefreshData, Обновление данных
btnViewData, Просмотр данных
AbroadTrip_AbroadTripReasonName, Цель поездки
AbroadTrip_CountryName, Страна
AbroadTrip_DocumentName, Документ
String1, 
No, Нет
Yes, Да
PersonQualityUpper_QualityUpperTyleName, Вид повышения квалификации
PersonVacation_DateFinishTo, PersonVacation_DateFinishTo
PersonVacation_DateStartFrom, PersonVacation_DateStartFrom
